SEASON_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS
42021,203110,Draymond Green,1610612744,GSW,Golden State Warriors,0042100406,2022-06-16,GSW @ BOS,W,42,12,5,10,0.5,2,5,0.4,0,0,,4,8,12,8,2,2,5,1,16
42021,1629752,Juwan Morgan,1610612738,BOS,Boston Celtics,0042100406,2022-06-16,BOS vs. GSW,L,1,0,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
42021,1630174,Aaron Nesmith,1610612738,BOS,Boston Celtics,0042100406,2022-06-16,BOS vs. GSW,L,1,0,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,-2
42021,1630202,Payton Pritchard,1610612738,BOS,Boston Celtics,0042100406,2022-06-16,BOS vs. GSW,L,8,0,0,2,0.0,0,2,0.0,0,0,,1,0,1,1,0,0,1,0,-20
42021,1630573,Sam Hauser,1610612738,BOS,Boston Celtics,0042100406,2022-06-16,BOS vs. GSW,L,1,0,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,-2
42021,202691,Klay Thompson,1610612744,GSW,Golden State Warriors,0042100406,2022-06-16,GSW @ BOS,W,41,12,5,20,0.25,2,8,0.25,0,0,,0,5,5,2,2,0,3,3,4
42021,1628369,Jayson Tatum,1610612738,BOS,Boston Celtics,0042100406,2022-06-16,BOS vs. GSW,L,40,13,6,18,0.333,1,4,0.25,0,0,,0,3,3,7,3,1,5,3,-2
42021,203935,Marcus Smart,1610612738,BOS,Boston Celtics,0042100406,2022-06-16,BOS vs. GSW,L,38,9,4,12,0.333,1,2,0.5,0,0,,1,5,6,9,2,0,3,5,7
42021,203952,Andrew Wiggins,1610612744,GSW,Golden State Warriors,0042100406,2022-06-16,GSW @ BOS,W,44,18,7,18,0.389,4,9,0.444,0,0,,3,3,6,5,4,3,3,0,5
42021,1627759,Jaylen Brown,1610612738,BOS,Boston Celtics,0042100406,2022-06-16,BOS vs. GSW,L,44,34,12,23,0.522,5,11,0.455,5,6,0.833,1,6,7,3,1,0,5,2,1
42021,1627780,Gary Payton II,1610612744,GSW,Golden State Warriors,0042100406,2022-06-16,GSW @ BOS,W,20,6,2,6,0.333,0,2,0.0,2,2,1.0,1,2,3,2,3,1,1,5,18
42021,1628401,Derrick White,1610612738,BOS,Boston Celtics,0042100406,2022-06-16,BOS vs. GSW,L,16,2,1,6,0.167,0,2,0.0,0,0,,0,1,1,2,0,0,1,1,-26
42021,1629057,Robert Williams III,1610612738,BOS,Boston Celtics,0042100406,2022-06-16,BOS vs. GSW,L,33,10,4,8,0.5,0,0,,2,2,1.0,5,2,7,2,0,5,2,2,-1
42021,1629673,Jordan Poole,1610612744,GSW,Golden State Warriors,0042100406,2022-06-16,GSW @ BOS,W,18,15,5,12,0.417,3,8,0.375,2,2,1.0,1,2,3,2,0,0,0,3,11
42021,1629684,Grant Williams,1610612738,BOS,Boston Celtics,0042100406,2022-06-16,BOS vs. GSW,L,16,3,1,2,0.5,0,1,0.0,1,1,1.0,0,1,1,1,0,1,1,1,-18
42021,1626172,Kevon Looney,1610612744,GSW,Golden State Warriors,0042100406,2022-06-16,GSW @ BOS,W,22,0,0,2,0.0,0,0,,0,0,,6,1,7,1,0,0,1,4,0
